Quote ID,Date,Supplier,Product,Electronic Component 1 Name,Electronic Component 1 Cost,Mechanical Component 1 Name,Mechanical Component 1 Cost,Raw Material 1 Name,Raw Material 1 Cost,Conversion Cost 1 Type,Conversion Cost 1 Detail,Conversion Cost 1 Cost,Logistic Choice,Estimated Delivery Cost,Total Cost per Unit,Quantity,Total Project Cost,Electronic Component 2 Name,Electronic Component 2 Cost,Electronic Component 3 Name,Electronic Component 3 Cost,Mechanical Component 2 Name,Mechanical Component 2 Cost,Mechanical Component 3 Name,Mechanical Component 3 Cost,Raw Material 2 Name,Raw Material 2 Cost,Conversion Cost 2 Type,Conversion Cost 2 Detail,Conversion Cost 2 Cost,Conversion Cost 3 Type,Conversion Cost 3 Detail,Conversion Cost 3 Cost,Quality Control 1 Type,Quality Control 1 Detail,Quality Control 1 Cost,Quality Control 2 Type,Quality Control 2 Detail,Quality Control 2 Cost
016,31st March 2071,AutoTechSolutions,ECU-305,Solenoid,0.62,Filter Housing,0.51,Fiberglass,0.46,Labor,Extrusion,0.69,Road,0.53,8.1,650,5265,Accelerometer,1.02,DC-DC Converter,0.34,Nut,0.33,Actuator Rod,0.42,Galvanized Steel,0.40,Labor,Operational Efficiency Analysis,0.55,Labor,Supply Network Planning,0.47,Quality Control,Hermetic Testing,0.31,Quality Control,Shock Testing,0.28
017,3rd April 2071,InnovativeAuto,TPS-105,Potentiometer,0.78,Injection-Molded Plastic Casing,0.58,ABS Plastic,0.43,Labor,Assembly Labor,0.62,Sea,0.51,6.4,900,5760,Microcontroller,1.55,Voltage Regulator,0.28,Brass Contact Pins,0.32,Mounting Clamp,0.38,Steel,0.28,Labor,Testing and Calibration,0.37,Labor,Packaging Labor,0.27,Quality Control,Inspection,0.17,Quality Control,Testing Equipment Depreciation,0.12
018,6th April 2071,ElectroParts,O2-Sensor-205,LED,0.47,Actuator Arm,0.45,Brass,0.41,Labor,Electroplating,0.65,Sea,0.52,7.6,800,6080,Relay,0.93,Operational Amplifier,0.29,Plastic Knob,0.31,Cam Follower,0.39,Zinc,0.38,Labor,Assembly Line Setup,0.49,Labor,Import Duties,0.34,Quality Control,Pressure Testing,0.25,Quality Control,Reliability Testing,0.21
019,9th April 2071,AutoElectrix,TPS-106,Resistor,0.53,Thermal Shielding,0.47,Aluminum,0.38,Labor,Welding Labor,0.68,Air,0.56,7.2,1200,8640,Pressure Sensor,1.25,Heat Sink,0.33,Spring Clip,0.27,Gear Mechanism,0.42,Copper,0.35,Labor,Quality Inspection,0.43,Labor,Transportation Handling,0.32,Quality Control,Functionality Test,0.22,Quality Control,Environmental Stress Screening,0.16
020,12th April 2071,TechnoDrive,O2-Sensor-206,Capacitor,0.65,Mounting Bracket,0.52,Stainless Steel,0.45,Labor,Circuit Board Assembly,0.73,Sea,0.62,8.5,550,4675,Transistor,1.05,Diode,0.23,Connector Housing,0.36,Adjustable Lever,0.40,Nickel,0.36,Labor,Machine Calibration,0.48,Labor,Handling and Storage,0.37,Quality Control,Dimensional Inspection,0.28,Quality Control,Life Cycle Testing,0.19
021,15th April 2071,AutoInnovate,ECU-306,Thermistor,0.58,Rubber Seal,0.50,Silicone Rubber,0.45,Labor,Surface Treatment,0.71,Road,0.58,8.0,700,5600,Temperature Sensor,1.12,Amplifier,0.30,Copper Wire,0.35,Rotary Shaft,0.46,Titanium,0.41,Labor,Electronic Testing,0.53,Labor,Inventory Management,0.40,Quality Control,Material Analysis,0.29,Quality Control,Vibration Analysis,0.24
022,18th April 2071,DynamicAuto,O2-Sensor-207,Diode,0.51,Connector Body,0.47,Glass,0.42,Labor,Molding,0.66,Air,0.50,7.8,650,5070,Inductor,0.88,Crystal Oscillator,0.30,Steel Rod,0.34,Linkage Assembly,0.38,Graphite,0.37,Labor,Equipment Maintenance,0.51,Labor,Export Processing,0.36,Quality Control,Electrical Testing,0.27,Quality Control,Wear Testing,0.23
023,21st April 2071,EcoAutoTech,ECU-307,Integrated Circuit,0.60,Valve Body,0.49,Rubber,0.44,Labor,Coating Application,0.70,Sea,0.55,8.2,600,4920,Piezoelectric Sensor,0.98,Filter,0.31,Ceramic Disc,0.36,Control Arm,0.41,Lead,0.39,Labor,Worker Training,0.54,Labor,Customs Clearance,0.38,Quality Control,Chemical Analysis,0.28,Quality Control,Endurance Testing,0.22
024,24th April 2071,NextGenAuto,TPS-107,Fuse,0.52,Heat Sink,0.46,Carbon Fiber,0.43,Labor,Heat Treatment,0.67,Road,0.51,7.9,750,5925,Servo Motor,0.91,Rectifier,0.28,Metal Clip,0.33,Bushing Assembly,0.37,Iron,0.38,Labor,Safety Testing,0.52,Labor,Quality Assurance,0.37,Quality Control,Torque Testing,0.26,Quality Control,Non-Destructive Testing,0.20
025,27th April 2071,TechDriveSolutions,ECU-308,Voltage Regulator,0.56,Piston,0.50,Polycarbonate,0.47,Labor,Polishing,0.68,Air,0.54,8.3,500,4150,Optocoupler,0.95,Power Supply,0.31,Wire Harness,0.35,Pivot Point,0.40,Alloy Steel,0.38,Labor,Process Optimization,0.53,Labor,Supply Chain Management,0.39,Quality Control,Leak Testing,0.30,Quality Control,Durability Testing,0.25
026,30th April 2071,AutoTechSolutions,TPS-108,Potentiometer,0.79,Injection-Molded Plastic Casing,0.59,ABS Plastic,0.44,Labor,Assembly Labor,0.63,Sea,0.52,6.5,850,5525,Microcontroller,1.58,Voltage Regulator,0.29,Brass Contact Pins,0.33,Mounting Clamp,0.39,Steel,0.29,Labor,Testing and Calibration,0.38,Labor,Packaging Labor,0.28,Quality Control,Inspection,0.18,Quality Control,Testing Equipment Depreciation,0.13
027,3rd May 2071,InnovativeAuto,O2-Sensor-208,Resistor,0.54,Thermal Shielding,0.48,Aluminum,0.39,Labor,Welding Labor,0.69,Road,0.57,7.3,950,6935,Pressure Sensor,1.28,Heat Sink,0.34,Spring Clip,0.28,Gear Mechanism,0.43,Copper,0.36,Labor,Quality Inspection,0.44,Labor,Transportation Handling,0.33,Quality Control,Functionality Test,0.23,Quality Control,Environmental Stress Screening,0.17
028,6th May 2071,ElectroParts,ECU-309,Capacitor,0.66,Mounting Bracket,0.53,Stainless Steel,0.46,Labor,Circuit Board Assembly,0.74,Sea,0.63,8.6,560,4784,Transistor,1.08,Diode,0.24,Connector Housing,0.37,Adjustable Lever,0.41,Nickel,0.37,Labor,Machine Calibration,0.49,Labor,Handling and Storage,0.38,Quality Control,Dimensional Inspection,0.29,Quality Control,Life Cycle Testing,0.20
029,9th May 2071,AutoElectrix,TPS-109,Thermistor,0.59,Rubber Seal,0.51,Silicone Rubber,0.46,Labor,Surface Treatment,0.72,Air,0.59,8.1,720,5832,Temperature Sensor,1.15,Amplifier,0.31,Copper Wire,0.36,Rotary Shaft,0.47,Titanium,0.42,Labor,Electronic Testing,0.54,Labor,Inventory Management,0.41,Quality Control,Material Analysis,0.30,Quality Control,Vibration Analysis,0.25
030,12th May 2071,TechnoDrive,O2-Sensor-209,LED,0.48,Actuator Arm,0.46,Brass,0.42,Labor,Electroplating,0.66,Road,0.53,7.7,780,6006,Relay,0.96,Operational Amplifier,0.30,Plastic Knob,0.32,Cam Follower,0.40,Zinc,0.39,Labor,Assembly Line Setup,0.50,Labor,Import Duties,0.35,Quality Control,Pressure Testing,0.26,Quality Control,Reliability Testing,0.22
031,15th May 2071,AutoInnovate,ECU-310,Diode,0.52,Connector Body,0.48,Glass,0.43,Labor,Molding,0.67,Air,0.51,7.9,670,5293,Inductor,0.91,Crystal Oscillator,0.32,Steel Rod,0.35,Linkage Assembly,0.39,Graphite,0.38,Labor,Equipment Maintenance,0.52,Labor,Export Processing,0.37,Quality Control,Electrical Testing,0.28,Quality Control,Wear Testing,0.24
032,18th May 2071,DynamicAuto,TPS-110,Integrated Circuit,0.61,Valve Body,0.50,Rubber,0.45,Labor,Coating Application,0.71,Sea,0.56,8.3,890,7387,Piezoelectric Sensor,1.01,Filter,0.32,Ceramic Disc,0.37,Control Arm,0.42,Lead,0.40,Labor,Worker Training,0.55,Labor,Customs Clearance,0.39,Quality Control,Chemical Analysis,0.29,Quality Control,Endurance Testing,0.23
033,21st May 2071,EcoAutoTech,O2-Sensor-210,Fuse,0.53,Heat Sink,0.47,Carbon Fiber,0.44,Labor,Heat Treatment,0.68,Road,0.52,7.8,760,5928,Servo Motor,0.94,Rectifier,0.29,Metal Clip,0.34,Bushing Assembly,0.38,Iron,0.39,Labor,Safety Testing,0.53,Labor,Quality Assurance,0.38,Quality Control,Torque Testing,0.27,Quality Control,Non-Destructive Testing,0.21
034,24th May 2071,NextGenAuto,ECU-311,Voltage Regulator,0.57,Piston,0.51,Polycarbonate,0.48,Labor,Polishing,0.69,Air,0.55,8.4,520,4368,Optocoupler,0.98,Power Supply,0.33,Wire Harness,0.36,Pivot Point,0.41,Alloy Steel,0.39,Labor,Process Optimization,0.54,Labor,Supply Chain Management,0.40,Quality Control,Leak Testing,0.31,Quality Control,Durability Testing,0.26
035,27th May 2071,TechDriveSolutions,TPS-111,Oscillator,0.52,Gasket,0.42,Teflon,0.38,Labor,Annealing,0.62,Sea,0.47,7.3,1120,8176,Magnetic Sensor,0.83,Charge Controller,0.31,Spring,0.30,Slider Mechanism,0.35,Magnesium,0.34,Labor,Product Certification,0.47,Labor,Logistics Coordination,0.32,Quality Control,Acoustic Testing,0.26,Quality Control,Impact Testing,0.20
036,30th May 2071,AutoFuturistics,TPS-112,Potentiometer,0.80,Injection-Molded Plastic Casing,0.60,ABS Plastic,0.45,Labor,Assembly Labor,0.64,Air,0.53,6.6,870,5742,Microcontroller,1.60,Voltage Regulator,0.30,Brass Contact Pins,0.34,Mounting Clamp,0.40,Steel,0.30,Labor,Testing and Calibration,0.39,Labor,Packaging Labor,0.29,Quality Control,Inspection,0.19,Quality Control,Testing Equipment Depreciation,0.14
037,2nd June 2071,TechnoParts,O2-Sensor-211,Resistor,0.55,Thermal Shielding,0.49,Aluminum,0.40,Labor,Welding Labor,0.70,Sea,0.58,7.4,960,7104,Pressure Sensor,1.30,Heat Sink,0.35,Spring Clip,0.29,Gear Mechanism,0.44,Copper,0.37,Labor,Quality Inspection,0.45,Labor,Transportation Handling,0.34,Quality Control,Functionality Test,0.24,Quality Control,Environmental Stress Screening,0.18
038,5th June 2071,DynamicAuto,ECU-312,Capacitor,0.67,Mounting Bracket,0.54,Stainless Steel,0.47,Labor,Circuit Board Assembly,0.75,Road,0.64,8.7,570,4929,Transistor,1.10,Diode,0.25,Connector Housing,0.38,Adjustable Lever,0.42,Nickel,0.38,Labor,Machine Calibration,0.50,Labor,Handling and Storage,0.39,Quality Control,Dimensional Inspection,0.30,Quality Control,Life Cycle Testing,0.21
039,8th June 2071,EcoAutoTech,TPS-113,Thermistor,0.60,Rubber Seal,0.52,Silicone Rubber,0.47,Labor,Surface Treatment,0.73,Air,0.60,8.2,730,5986,Temperature Sensor,1.18,Amplifier,0.32,Copper Wire,0.37,Rotary Shaft,0.48,Titanium,0.43,Labor,Electronic Testing,0.55,Labor,Inventory Management,0.42,Quality Control,Material Analysis,0.31,Quality Control,Vibration Analysis,0.26
040,11th June 2071,AutoInnovate,O2-Sensor-212,LED,0.49,Actuator Arm,0.47,Brass,0.43,Labor,Electroplating,0.67,Sea,0.54,7.8,790,6162,Relay,0.97,Operational Amplifier,0.31,Plastic Knob,0.33,Cam Follower,0.41,Zinc,0.40,Labor,Assembly Line Setup,0.51,Labor,Import Duties,0.36,Quality Control,Pressure Testing,0.27,Quality Control,Reliability Testing,0.23
041,14th June 2071,NextGenAuto,ECU-313,Diode,0.53,Connector Body,0.49,Glass,0.44,Labor,Molding,0.68,Road,0.52,7.9,680,5372,Inductor,0.92,Crystal Oscillator,0.33,Steel Rod,0.36,Linkage Assembly,0.40,Graphite,0.39,Labor,Equipment Maintenance,0.53,Labor,Export Processing,0.38,Quality Control,Electrical Testing,0.29,Quality Control,Wear Testing,0.25
042,17th June 2071,TechDriveSolutions,TPS-114,Integrated Circuit,0.62,Valve Body,0.51,Rubber,0.46,Labor,Coating Application,0.72,Sea,0.57,8.4,900,7560,Piezoelectric Sensor,1.03,Filter,0.34,Ceramic Disc,0.38,Control Arm,0.43,Lead,0.41,Labor,Worker Training,0.56,Labor,Customs Clearance,0.40,Quality Control,Chemical Analysis,0.30,Quality Control,Endurance Testing,0.24
043,20th June 2071,AutoTechSolutions,O2-Sensor-213,Fuse,0.54,Heat Sink,0.48,Carbon Fiber,0.45,Labor,Heat Treatment,0.69,Air,0.53,7.7,770,5929,Servo Motor,0.95,Rectifier,0.30,Metal Clip,0.35,Bushing Assembly,0.39,Iron,0.40,Labor,Safety Testing,0.54,Labor,Quality Assurance,0.39,Quality Control,Torque Testing,0.28,Quality Control,Non-Destructive Testing,0.22
044,23rd June 2071,InnovativeAuto,ECU-314,Voltage Regulator,0.58,Piston,0.52,Polycarbonate,0.49,Labor,Polishing,0.70,Road,0.56,8.5,530,4505,Optocoupler,0.99,Power Supply,0.34,Wire Harness,0.37,Pivot Point,0.42,Alloy Steel,0.40,Labor,Process Optimization,0.55,Labor,Supply Chain Management,0.41,Quality Control,Leak Testing,0.32,Quality Control,Durability Testing,0.27
045,26th June 2071,ElectroParts,TPS-115,Oscillator,0.53,Gasket,0.43,Teflon,0.39,Labor,Annealing,0.63,Sea,0.48,7.4,1130,8352,Magnetic Sensor,0.84,Charge Controller,0.32,Spring,0.31,Slider Mechanism,0.36,Magnesium,0.35,Labor,Product Certification,0.48,Labor,Logistics Coordination,0.33,Quality Control,Acoustic Testing,0.27,Quality Control,Impact Testing,0.21
046,29th June 2071,DynamicAuto,O2-Sensor-214,Transducer,0.55,Bracket Assembly,0.50,Ceramic,0.49,Labor,Casting,0.70,Air,0.59,7.6,860,6536,Variable Resistor,0.80,Energy Harvester,0.35,Pin Connector,0.39,Rack and Pinion,0.44,Tungsten,0.43,Labor,Tooling Setup,0.56,Labor,Risk Management,0.41,Quality Control,Radiographic Inspection,0.32,Quality Control,Corrosion Testing,0.28
047,2nd July 2071,EcoAutoTech,ECU-315,Photodiode,0.51,Switch Assembly,0.41,High-Density Polyethylene,0.37,Labor,Drilling,0.61,Sea,0.45,7.2,660,4752,LCD Display,0.78,Signal Processor,0.35,Rivet,0.38,Helical Spring,0.42,Silicon,0.42,Labor,Firmware Updating,0.45,Labor,Inventory Optimization,0.30,Quality Control,Spectral Analysis,0.29,Quality Control,Thermal Cycling,0.23
048,5th July 2071,AutoInnovate,TPS-116,Piezoelectric Crystal,0.54,Frame Structure,0.40,Composite Material,0.36,Labor,Stamping,0.60,Road,0.44,7.0,1020,7140,RFID Chip,0.77,Hall Effect Sensor,0.35,Bearing,0.37,Sprocket Assembly,0.41,Bronze,0.41,Labor,Workflow Analysis,0.44,Labor,Transport Licensing,0.29,Quality Control,Ultrasonic Testing,0.28,Quality Control,Fatigue Testing,0.24
049,8th July 2071,NextGenAuto,O2-Sensor-215,Hall Sensor,0.48,Exhaust Clamp,0.39,Titanium Alloy,0.35,Labor,Laser Cutting,0.59,Sea,0.43,6.9,820,5658,Bluetooth Module,0.73,Analog-to-Digital Converter,0.36,Bolt,0.25,Link Chain,0.30,Platinum,0.31,Labor,Prototype Development,0.43,Labor,Order Processing,0.28,Quality Control,X-Ray Inspection,0.26,Quality Control,Load Testing,0.22
050,11th July 2071,TechDriveSolutions,ECU-316,RFID Reader,0.56,Spring Assembly,0.38,Nylon,0.34,Labor,Forging,0.58,Road,0.42,7.1,760,5396,GPS Module,0.71,Power Amplifier,0.36,Screw,0.24,Linear Actuator,0.29,Silver,0.29,Labor,Energy Efficiency Testing,0.42,Labor,Material Sourcing,0.27,Quality Control,Tensile Testing,0.25,Quality Control,Pressure Cycle Testing,0.22
